#separator:Comma
#html:false
#guid column:4
expression,reading,meaning,guid
マイナス,マイナス,minus,01IB65slaSfRgmgFwplh
梅,うめ,"Plum, lowest tier",01uDb6omv6jKUSQY42Xo
分野,ぶんや,"field, sphere",03ip9cyBpH6rwrk3tk0I
応じる,おうじる,"respond, comply, adapt",05dRGPp2j1HhABrtQVsP
灰,はい,Ash,0646OZWioLVWFErF1mGc
都,みやこ,Metropolitan,07B6shuYAOa8wY2tTbF0
祭,まつり,Festival,07EldTVWYIHo5ufhoIou
候補,こうほ,candidacy,08GSk5bYr6ZivC37Hym2
越す,こす,Cross over,08LEw3890etvLZuUWWUq
はあ (かん),はあ (かん),Sigh,0DolARgEPMx8XAskhVgx
一帯,いったい,The whole region,0G2IGAEjHQUM9lDA7l2p
区別,くべつ,"distinction, differentiation, classification",0GQ6kA9uyGVjZYxulPlL
熱帯,ねったい,Tropics,0HHa7eqXLtIQMYP1Ep9H
字体,じたい,Typeface,0HKMBn9OEYc6rgvPVVLT
市場,しじょう,Market,0HoOE4IHBkFQKsu1Ghdw
表面,ひょうめん,"surface, outside, face",0HttjgUycT5u6v3cFjnu
慎重,しんちょう,"Careful, prudent, cautious",0K7qY3Zjh9KwdwzEtb1p
住民,じゅうみん,"Inhabitants, residents",0L0mX7gNIX0cc25f2PXt
泳ぎ,およぎ,Swimming,0L7XD8NyBz2NlZSizItH
次第,しだい,"order, circumstances, immediately",0MGOMr8hmWGglD0BgYzC
支払,しはらい,Payment,0QvZvFZthZIf0d0SNubx
器官,きかん,organ,0RcV0ImKAsww9uN7vMKs
胡椒,こしょう,Pepper,0Sqg1anMK4xpedFDj9bu
戦い,たたかい,"Battle, fight",0T9mfiVGKpLpgPwKh2OS
刑,けい,"Penalty, sentence, punishment",0TKERn7C97L0U5dUode7
偶々,たまたま,"Unexpectedly, accidentally, by chance",0TuqVCj97dBlbZQMw6QS
お洒落,おしゃれ,"Smartly dressed, fashion-conscious",0Xn1rJ7gv7ZaD2nq2qdx
女王,じょおう,Queen,0XsdzFhqVCtDgP0kRODL
滞在,たいざい,"stay, sojourn",0YT6dBB2SaIzZlT7ihV3
今日,こんにち,Today,0Z3OI8L8CUzoP88UFef4
煮える,にえる,"boil, cook",0a1apwaCGvIg7OP1c0OB
建設,けんせつ,"Construction, foundation",0bUqCkTcpvYF54fNoiLf
